,Answer,Answered,Correct,Select2,Select4,Select3,Select1,TextLength,WordCount,AvgWordLength,AnswerRate,Entropy
78,3,1704,1156,184,220,1156,144,60,10,6.0,0.6784037558685446,0.7134522986577454
79,1,1732,584,539,251,358,584,46,5,9.2,0.3371824480369515,0.9690511828747199
80,2,2638,1857,1857,254,347,180,215,12,17.916666666666668,0.703942380591357,0.6753648524128255
81,1,115,58,8,24,25,58,4,0,0.0,0.5043478260869565,0.8441774907235726
82,4,2471,1554,374,1554,309,234,67,10,6.7,0.6288951841359773,0.7689727038055101
83,2,2905,1552,1552,380,221,752,182,34,5.352941176470588,0.5342512908777969,0.8118831397123949
84,1,2627,1014,449,647,542,989,128,24,5.333333333333333,0.38599162542824517,0.9726903987766545
85,4,1615,701,295,701,315,304,151,28,5.392857142857143,0.4340557275541796,0.9437188500386768
86,2,2185,1654,1654,157,241,133,64,9,7.111111111111111,0.7569794050343249,0.6027336254617118
87,4,1548,443,779,443,82,244,240,43,5.5813953488372094,0.28617571059431524,0.792418556107794
88,2,2286,1199,1199,173,708,206,134,20,6.7,0.5244969378827646,0.7752375804285636
89,4,2948,2078,298,2078,294,278,67,9,7.444444444444445,0.7048846675712347,0.6842410380586322
90,1,2477,1431,291,246,509,1431,71,11,6.454545454545454,0.5777149777957207,0.8061040445035883
91,4,2857,1335,281,1335,933,308,40,4,10.0,0.4672733636681834,0.8336983754168783
92,1,2322,1184,532,282,324,1184,130,15,8.666666666666666,0.5099052540913006,0.8684567386728685
93,2,2290,522,522,413,745,610,125,12,10.416666666666666,0.2279475982532751,1.0266051896242805
94,1,1318,336,271,227,484,336,310,57,5.43859649122807,0.2549317147192716,0.9960501463685898
95,3,1311,504,342,233,504,232,122,19,6.421052631578948,0.38443935926773454,0.9640319629401242
96,1,81,32,12,15,22,32,89,17,5.235294117647059,0.3950617283950617,0.9492029850750296
97,1,1271,741,170,127,233,741,114,18,6.333333333333333,0.5830055074744296,0.8102415104412406
98,2,174,81,81,49,22,22,62,8,7.75,0.46551724137931033,0.8798108061595666
99,2,136,63,63,18,25,30,99,10,9.9,0.4632352941176471,0.9124213084193469
100,1,99,66,9,17,7,66,95,16,5.9375,0.6666666666666666,0.7078579390512387
101,1,2587,1132,411,575,469,1132,255,48,5.3125,0.4375724777734828,0.936112312355214
102,2,179,80,80,28,50,21,93,13,7.153846153846154,0.44692737430167595,0.8978399275403902
103,4,2389,1381,203,1381,621,184,23,1,23.0,0.5780661364587694,0.7571676824940098
104,3,89,20,21,8,20,40,92,15,6.133333333333334,0.2247191011235955,0.9167441328239284
105,1,1703,946,386,187,184,946,81,12,6.75,0.5554903112155021,0.8194200363454899
106,3,2112,1148,316,186,1148,462,235,38,6.184210526315789,0.5435606060606061,0.8306639115191892
107,2,78,29,29,11,16,22,85,17,5.0,0.3717948717948718,0.958173474067801
108,3,6,2,0,2,2,2,129,19,6.7894736842105265,0.3333333333333333,0.7324081924454064
109,1,111,50,16,18,27,50,80,12,6.666666666666667,0.45045045045045046,0.9180687900898021
110,1,1155,315,287,300,253,315,162,28,5.785714285714286,0.2727272727272727,1.0287489561168977
111,2,2610,1775,1775,246,322,267,88,8,11.0,0.6800766283524904,0.7139925461559194
112,3,104,36,26,24,36,18,86,18,4.777777777777778,0.34615384615384615,0.9885393036785879
113,4,11,5,1,5,2,3,29,0,0.0,0.45454545454545453,0.8822945826969095
114,3,104,50,8,30,50,16,46,8,5.75,0.4807692307692308,0.843886877062445
115,2,104,44,44,17,22,21,11,0,0.0,0.4230769230769231,0.947701172437037
116,2,2122,1130,1130,141,249,602,100,17,5.882352941176471,0.532516493873704,0.7889997675690824
117,4,10,3,0,3,5,2,92,18,5.111111111111111,0.3,0.6684611727667927
118,4,2488,1290,346,1290,561,291,104,17,6.117647058823529,0.5184887459807074,0.8611995823183507
119,2,2465,1117,1117,291,657,400,67,11,6.090909090909091,0.45314401622718053,0.8997474169721003
120,1,2143,784,448,279,632,784,68,9,7.555555555555555,0.36584227718152124,0.9527413903395721
121,4,167,60,18,60,63,26,49,6,8.166666666666666,0.3592814371257485,0.8974290331451302
122,2,2146,1407,1407,195,320,224,72,10,7.2,0.6556383970177073,0.7375719357168775
123,2,2144,951,951,239,451,503,53,10,5.3,0.4435634328358209,0.9126482333889872
124,2,1260,480,480,366,183,231,169,25,6.76,0.38095238095238093,0.9503317482794398
125,1,1274,694,102,68,410,694,51,7,7.285714285714286,0.5447409733124019,0.7234329502145425
126,1,83,21,18,14,30,21,124,18,6.888888888888889,0.25301204819277107,0.9995024334551785
127,2,109,47,47,14,30,18,0,0,0.0,0.43119266055045874,0.9160931467119052
128,1,78,22,24,12,20,22,0,0,0.0,0.28205128205128205,0.9996009884324439
129,3,2258,1083,388,464,1083,323,182,27,6.7407407407407405,0.4796279893711249,0.9059644024030371
130,1,1583,551,630,156,246,551,168,24,7.0,0.34807327858496523,0.884353091986103
131,1,113,52,15,15,31,52,160,24,6.666666666666667,0.46017699115044247,0.8909340492862561
132,3,851,330,269,111,330,141,67,11,6.090909090909091,0.38777908343125733,0.9275797426378877
133,3,2296,1513,147,250,1513,386,44,7,6.285714285714286,0.6589721254355401,0.7171887011061125
134,1,2670,1720,375,251,324,1720,132,11,12.0,0.6441947565543071,0.7538933397928405
135,1,1250,559,190,60,441,559,187,35,5.3428571428571425,0.4472,0.7996696433751185
136,4,71,26,14,26,11,20,234,41,5.7073170731707314,0.36619718309859156,0.9659478645124462
137,1,1288,805,153,170,160,805,168,33,5.090909090909091,0.625,0.7794394613430566
138,3,2497,1771,257,234,1771,235,34,4,8.5,0.7092511013215859,0.6783041209881716
139,3,6,2,3,1,2,0,48,7,6.857142857142857,0.3333333333333333,0.6452001684846485
140,2,167,68,68,22,17,60,55,8,6.875,0.40718562874251496,0.8673841489406832
141,2,86,39,39,5,32,10,183,35,5.228571428571429,0.45348837209302323,0.7834620179327053
142,2,2457,668,668,472,735,582,250,45,5.555555555555555,0.2718762718762719,1.0190863295656798
143,2,2882,2050,2050,228,267,337,102,17,6.0,0.7113115891741846,0.6720532100535226
144,3,139,67,21,28,67,23,0,0,0.0,0.48201438848920863,0.905964451380876
145,1,2241,1071,331,208,631,1071,208,35,5.942857142857143,0.4779116465863454,0.8599792691904942
146,4,1426,323,286,323,474,343,255,45,5.666666666666667,0.226507713884993,1.031074246226316
147,2,2255,1340,1340,432,186,297,150,24,6.25,0.5942350332594235,0.7893752216699068
148,2,2459,933,933,446,499,581,163,25,6.52,0.3794225294835299,0.9741795202561989
149,3,104,34,29,16,34,25,425,72,5.902777777777778,0.3269230769230769,0.986754506661027
150,3,2465,1390,391,327,1390,357,67,10,6.7,0.563894523326572,0.8398619927097521
151,2,487,240,240,40,122,85,238,46,5.173913043478261,0.4928131416837782,0.8567353921513512
152,3,1491,520,252,227,520,492,236,40,5.9,0.3487592219986586,0.9528921093904683
153,1,4,3,1,0,0,3,61,6,10.166666666666666,0.75,0.34657359027997264
154,4,2311,1818,208,1818,150,135,64,9,7.111111111111111,0.7866724361748161,0.5601403920743268
155,4,1675,276,759,276,210,430,112,16,7.0,0.1647761194029851,0.9680971243516127
156,3,591,286,157,84,286,64,33,7,4.714285714285714,0.48392554991539766,0.8701627164658515
157,3,1734,1211,213,163,1211,147,183,35,5.228571428571429,0.6983852364475202,0.6890434002335587
158,3,2208,885,454,228,885,641,0,0,0.0,0.4008152173913043,0.9187421611357238
159,2,2136,787,787,462,480,407,154,25,6.16,0.3684456928838951,0.9825514063109579
160,3,2237,1350,329,367,1350,191,93,12,7.75,0.6034868126955745,0.7885468305082718
161,1,2547,844,499,435,769,844,26,0,0.0,0.331370239497448,0.9827752654246524
162,3,1572,610,375,224,610,363,91,11,8.272727272727273,0.3880407124681934,0.9579808001418513
163,4,630,476,46,476,50,58,68,12,5.666666666666667,0.7555555555555555,0.6117722270853668
164,2,115,82,82,9,16,8,196,31,6.32258064516129,0.7130434782608696,0.6592242360929225
165,2,2294,1284,1284,241,515,254,200,33,6.0606060606060606,0.5597210113339146,0.8157663042852785
166,1,104,36,29,19,20,36,256,49,5.224489795918367,0.34615384615384615,0.9837309230458019
167,3,1601,674,369,249,674,309,130,13,10.0,0.42098688319800126,0.9451777105033631
168,4,206,144,11,144,30,21,109,16,6.8125,0.6990291262135923,0.6698086496219195
169,4,2302,603,554,603,966,179,79,11,7.181818181818182,0.2619461337966985,0.9057940958458048
170,1,1541,972,199,153,217,972,166,25,6.64,0.6307592472420506,0.7696975480114534
171,3,2116,1079,340,368,1079,329,42,7,6.0,0.5099243856332704,0.8873739248974191
172,2,616,186,186,215,108,107,211,32,6.59375,0.30194805194805197,0.9766983124271531
173,4,137,49,28,49,48,12,157,32,4.90625,0.35766423357664234,0.9052559625323687
174,3,1018,386,267,173,386,192,137,13,10.538461538461538,0.3791748526522593,0.9668194651311388
175,2,10,3,3,1,4,2,141,23,6.130434782608695,0.3,0.9186623845358866
176,2,1199,693,693,127,265,114,164,23,7.130434782608695,0.5779816513761468,0.7951545033030523
177,2,2545,1220,1220,292,389,644,12,0,0.0,0.4793713163064833,0.8832441655652291
178,4,2903,2491,165,2491,138,109,32,6,5.333333333333333,0.8580778504994833,0.4310310211057116
179,2,78,22,22,19,22,15,62,12,5.166666666666667,0.28205128205128205,1.0180470089748548
180,4,80,20,23,20,27,10,16,1,16.0,0.25,0.984897310025064
181,3,574,183,115,160,183,116,96,17,5.647058823529412,0.31881533101045295,1.0013355863996969
182,3,2245,585,1184,327,585,149,144,22,6.545454545454546,0.26057906458797325,0.7980676326671873
183,3,2596,1196,660,463,1196,277,277,30,9.233333333333333,0.46070878274268107,0.8944218576980904
184,1,2472,1531,308,251,382,1531,72,10,7.2,0.6193365695792881,0.7803068523122385
185,4,2715,1826,189,1826,519,181,90,11,8.181818181818182,0.6725598526703499,0.6823440978661881
186,2,2318,866,866,452,569,431,13,0,0.0,0.37359792924935287,0.9763671508048292
187,1,2184,1075,457,242,410,1075,115,8,14.375,0.49221611721611724,0.885108615264727
188,3,189,75,42,27,75,45,254,49,5.183673469387755,0.3968253968253968,0.9539133773921507
189,2,178,64,64,30,36,48,177,22,8.045454545454545,0.3595505617977528,0.9767588369406424
190,2,2582,1673,1673,382,161,366,85,13,6.538461538461538,0.6479473276529821,0.7326777363026638
191,4,869,300,350,300,120,99,243,44,5.5227272727272725,0.34522439585730724,0.8871412657187886
192,4,80,22,17,22,28,13,308,53,5.811320754716981,0.275,0.9918356253777971
193,3,2315,1249,348,380,1249,338,272,45,6.044444444444444,0.5395248380129589,0.8624003467136653
194,2,1324,608,608,259,338,119,212,28,7.571428571428571,0.459214501510574,0.8842748058898082
195,4,2554,1912,186,1912,303,153,9,0,0.0,0.7486296006264683,0.6123140846277753
196,1,1509,856,263,202,188,856,145,28,5.178571428571429,0.5672630881378397,0.8331620485258976
197,3,2166,753,514,306,753,593,123,9,13.666666666666666,0.3476454293628809,0.9724841213742234
198,3,326,159,52,30,159,85,187,32,5.84375,0.48773006134969327,0.8628402180075596
199,1,2966,2300,358,128,180,2300,136,30,4.533333333333333,0.7754551584625758,0.5608991186929828
200,1,1245,801,191,81,172,801,105,14,7.5,0.6433734939759036,0.7388239862279381
201,2,2128,852,852,277,426,573,38,7,5.428571428571429,0.40037593984962405,0.9406988584524101
202,1,2231,1735,212,133,151,1735,231,41,5.634146341463414,0.7776781712236666,0.5740205274744611
203,1,855,403,151,71,230,403,150,18,8.333333333333334,0.47134502923976607,0.8660585921381213
204,2,1908,818,818,330,308,452,0,0,0.0,0.42872117400419285,0.9390451647153929
205,4,425,192,98,192,54,81,116,21,5.523809523809524,0.45176470588235296,0.9163633962511406
206,1,2200,783,487,466,779,468,194,21,9.238095238095237,0.3559090909090909,1.0301702514413147
207,3,2155,1173,328,414,1173,240,68,12,5.666666666666667,0.5443155452436195,0.8478959889449695
208,3,78,19,21,8,19,30,115,17,6.764705882352941,0.24358974358974358,0.9543512281947524
209,2,2723,1947,1947,292,243,241,167,21,7.9523809523809526,0.7150201983106867,0.6696664503670577
210,1,2460,923,712,391,434,923,130,22,5.909090909090909,0.3752032520325203,0.9572481308864673
211,4,2259,1557,106,1557,115,481,43,4,10.75,0.6892430278884463,0.6244956710500286
212,4,2352,869,237,869,756,490,117,13,9.0,0.36947278911564624,0.922862425932151
213,2,2361,1416,1416,214,649,82,108,19,5.684210526315789,0.5997458703939009,0.6893005628608684
214,3,2895,1241,943,310,1241,401,209,38,5.5,0.4286701208981002,0.8784176704593789
215,2,830,321,321,111,209,189,168,30,5.6,0.38674698795180723,0.9532648010239163
216,4,2217,1289,475,1289,359,94,87,14,6.214285714285714,0.5814163283716735,0.7588956678424944
217,1,2139,864,495,306,474,864,127,21,6.0476190476190474,0.40392706872370265,0.9507873188067653
218,1,1607,454,416,221,516,454,247,42,5.880952380952381,0.28251400124455506,0.987454435222624
219,3,2211,1013,401,194,1013,603,120,17,7.0588235294117645,0.45816372682044326,0.8774937728776607
220,4,136,67,23,67,24,22,6,0,0.0,0.49264705882352944,0.9013278988763493
221,3,617,340,112,78,340,87,98,17,5.764705882352941,0.5510534846029174,0.847422287247982
222,4,1520,914,442,914,95,69,63,11,5.7272727272727275,0.6013157894736842,0.6728339082826515
223,4,100,27,14,27,29,30,73,7,10.428571428571429,0.27,0.9954312044304465
224,4,574,278,85,278,83,128,98,13,7.538461538461538,0.4843205574912892,0.8970893733102547
225,1,90,31,10,19,30,31,98,16,6.125,0.34444444444444444,0.9386961951724239
226,1,2105,807,702,292,304,807,85,14,6.071428571428571,0.3833729216152019,0.9196855331796885
227,4,1704,1147,149,1147,327,81,87,14,6.214285714285714,0.6731220657276995,0.6746674401514527
228,1,588,231,132,68,157,231,176,27,6.518518518518518,0.39285714285714285,0.9374227061679409
229,1,583,214,108,79,182,214,63,9,7.0,0.3670668953687822,0.9466128676518774
230,1,1500,450,394,157,499,450,147,25,5.88,0.3,0.9535187433078256
231,3,2173,1601,287,141,1601,144,105,17,6.176470588235294,0.7367694431661298,0.6246988224120573
232,2,593,302,302,77,136,78,254,39,6.512820512820513,0.5092748735244519,0.8696023603435299
233,3,2606,1277,738,341,1277,250,144,22,6.545454545454546,0.49002302379125096,0.8482721293893696
234,2,2617,1103,1103,365,467,682,58,7,8.285714285714286,0.4214749713412304,0.9327414231533875
235,3,1902,807,440,230,807,425,176,27,6.518518518518518,0.4242902208201893,0.9289679513741932
236,2,2706,1553,1553,204,842,107,64,10,6.4,0.5739098300073909,0.6858849129500563
237,3,1885,617,637,337,617,294,145,21,6.904761904761905,0.3273209549071618,0.9642183028778412
238,4,2595,1456,343,1456,571,225,218,23,9.478260869565217,0.5610789980732177,0.812618471137146
239,3,9,5,0,2,5,2,14,2,7.0,0.5555555555555556,0.6684788430116774
240,2,111,40,40,25,22,24,10,2,5.0,0.36036036036036034,0.9876443492724059
241,4,2118,613,673,613,510,322,108,11,9.818181818181818,0.28942398489140697,0.9935187687631084
242,3,2565,960,532,434,960,639,243,30,8.1,0.3742690058479532,0.9731134387833298
243,3,1730,1132,181,277,1132,140,53,9,5.888888888888889,0.6543352601156069,0.7329500046715616
244,3,13,4,5,0,4,4,160,26,6.153846153846154,0.3076923076923077,0.730167477731059
245,4,456,103,76,103,58,219,150,28,5.357142857142857,0.22587719298245615,0.91313996591077
246,4,1265,391,537,391,213,124,92,12,7.666666666666667,0.3090909090909091,0.891367609828351
247,4,945,517,113,517,167,148,176,31,5.67741935483871,0.5470899470899471,0.8506031135049104
248,3,2355,1754,227,215,1754,159,98,13,7.538461538461538,0.7447983014861995,0.6260022512560588
249,3,2500,1456,484,258,1456,302,56,5,11.2,0.5824,0.8075849633304525
250,3,2355,1648,200,314,1648,193,23,0,0.0,0.6997876857749469,0.6830935028522609
251,4,1723,381,238,381,286,818,65,9,7.222222222222222,0.2211259431224608,0.9251990550499976
252,3,2928,2034,540,169,2034,185,294,37,7.945945945945946,0.694672131147541,0.650891015197955
253,2,113,52,52,22,26,13,160,24,6.666666666666667,0.46017699115044247,0.9054236401062947
254,1,136,84,5,25,22,84,55,8,6.875,0.6176470588235294,0.7274708448567371
255,2,2867,1524,1524,446,451,446,102,13,7.846153846153846,0.5315660969654691,0.8698624183340637
256,4,1480,989,229,989,170,92,177,23,7.695652173913044,0.6682432432432432,0.7099918141062702
257,1,322,244,27,22,29,244,81,9,9.0,0.7577639751552795,0.6079904103318519
258,2,459,141,141,63,99,156,335,67,5.0,0.30718954248366015,0.9702093175214261
259,3,1731,1014,265,210,1014,242,188,32,5.875,0.58578856152513,0.8182749861319507
260,3,2293,1561,379,247,1561,106,39,5,7.8,0.6807675534234627,0.6796622041878574
261,4,2149,994,253,994,536,366,98,13,7.538461538461538,0.46254071661237783,0.8996873520777977
262,3,1707,645,448,372,645,242,209,36,5.805555555555555,0.37785588752196836,0.9600635383516426
263,1,2551,1120,410,509,512,1120,0,0,0.0,0.4390435123480988,0.9377286490553363
264,3,1730,976,318,222,976,214,65,10,6.5,0.5641618497109827,0.8333441830372355
265,4,2604,1146,518,1146,610,330,49,7,7.0,0.4400921658986175,0.9229978961284259
266,1,112,49,18,16,29,49,10,2,5.0,0.4375,0.921658380571569
267,1,1891,834,604,204,249,834,160,24,6.666666666666667,0.44103648863035433,0.871717125359825
268,2,565,181,181,108,125,151,247,41,6.024390243902439,0.32035398230088497,1.0026945764760644
269,1,68,23,11,24,10,23,434,76,5.7105263157894735,0.3382352941176471,0.9441449393213467
270,4,70,32,10,32,6,22,50,9,5.555555555555555,0.45714285714285713,0.8523353925526271
271,3,911,353,214,187,353,157,303,50,6.06,0.38748627881448955,0.9683294913994385
272,2,322,238,238,15,45,24,84,14,6.0,0.7391304347826086,0.6113927727987021
273,2,861,252,252,221,163,225,138,19,7.2631578947368425,0.2926829268292683,1.0148452066591962
274,2,2639,1521,1521,257,226,635,216,38,5.684210526315789,0.5763546798029556,0.7800577219629591
275,2,1021,440,440,72,234,275,185,37,5.0,0.4309500489715965,0.8779660322551472
276,4,2575,682,531,682,706,656,60,8,7.5,0.26485436893203884,1.0287244437658967
277,3,1700,865,176,437,865,222,140,18,7.777777777777778,0.5088235294117647,0.8498352231928605
278,3,2658,1439,368,160,1439,691,205,33,6.212121212121212,0.5413844996237773,0.7931374690620694
279,3,2160,838,557,389,838,376,243,42,5.785714285714286,0.38796296296296295,0.9625503827198709
280,2,1246,490,490,101,523,132,268,48,5.583333333333333,0.39325842696629215,0.8058734390195108
281,2,2385,1639,1639,196,183,367,101,17,5.9411764705882355,0.6872117400419288,0.6903537725213219
282,2,2555,701,701,306,1022,526,320,53,6.037735849056604,0.27436399217221136,0.946064771456977
283,2,2650,1468,1468,475,383,324,237,42,5.642857142857143,0.5539622641509434,0.8446276989982339
284,2,2578,1667,1667,168,597,146,114,22,5.181818181818182,0.6466252909231963,0.6793202847801247
285,2,2361,1538,1538,148,231,444,111,13,8.538461538461538,0.6514188903007201,0.7152807067572411
286,4,570,190,155,190,135,90,153,23,6.6521739130434785,0.3333333333333333,0.986694664163985
287,1,6,4,0,1,1,4,257,44,5.840909090909091,0.6666666666666666,0.5972531564093516
288,3,838,415,178,114,415,131,319,58,5.5,0.49522673031026254,0.8905557423575258
289,2,2137,1035,1035,294,465,343,96,13,7.384615384615385,0.4843238184370613,0.8983841875470708
290,2,2686,1754,1754,146,404,382,129,9,14.333333333333334,0.6530156366344005,0.7206122700998112
291,3,1526,559,176,154,559,637,199,28,7.107142857142857,0.36631716906946266,0.8452448790010848
292,3,2377,1346,208,340,1346,483,131,13,10.076923076923077,0.5662599915860328,0.8151360629233584
293,2,2634,1491,1491,170,842,131,22,0,0.0,0.5660592255125285,0.6906987649364666
294,3,4,2,0,1,2,1,47,8,5.875,0.5,0.6931471805599453
295,2,2622,2079,2079,184,160,199,60,10,6.0,0.7929061784897025,0.5527785914454995
296,2,68,28,28,10,19,11,84,16,5.25,0.4117647058823529,0.9328421863552849
297,3,2458,1148,402,468,1148,440,181,27,6.703703703703703,0.467046379170057,0.9198810122495173
298,3,2201,1167,356,221,1167,457,104,16,6.5,0.530213539300318,0.8518419606728596
299,4,10,5,2,5,2,1,187,28,6.678571428571429,0.5,0.8740336742730448
300,4,2289,1154,516,1154,370,249,103,19,5.421052631578948,0.5041502839667977,0.871725573985061
301,1,836,236,382,106,112,236,173,30,5.766666666666667,0.2822966507177033,0.8890311935432769
302,3,1002,405,169,105,405,323,97,12,8.083333333333334,0.4041916167664671,0.9015192506511918
303,1,89,26,41,10,12,26,181,27,6.703703703703703,0.29213483146067415,0.8728416385488958
304,1,2297,1290,659,178,170,1290,187,30,6.233333333333333,0.5616020896821942,0.7491095784154262
